volume,compositeId,centerId,filter
VGISS_5103,C1537728,C1537728,Blue
VGISS_5103,C1537728,C1537730,Orange
VGISS_5103,C1537728,C1537732,Green
VGISS_5103,C1537734,C1537734,Blue
VGISS_5103,C1537734,C1537736,Orange
VGISS_5103,C1537734,C1537738,Green
VGISS_5103,C1537740,C1537740,Blue
VGISS_5103,C1537740,C1537742,Orange
VGISS_5103,C1537740,C1537744,Green

VGISS_8203,C1027859,C1027859,VIOLET
VGISS_8203,C1027859,C1027905,GREEN
VGISS_8203,C1027859,C1027912,ORANGE

VGISS_8203,C1027937,C1027937,VIOLET
VGISS_8203,C1027937,C1027943,GREEN
VGISS_8203,C1027937,C1027950,ORANGE

VGISS_8207,C1133442,C1133442,BLUE
VGISS_8207,C1133442,C1133448,VIOLET
VGISS_8207,C1133442,C1133454,GREEN
VGISS_8207,C1133442,C1133500,ORANGE

VGISS_8207,C1133506,C1133506,BLUE
VGISS_8207,C1133506,C1133512,VIOLET
VGISS_8207,C1133506,C1133518,GREEN
VGISS_8207,C1133506,C1133524,ORANGE
